AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Darwin,Rome,34,1985,3,Darwin → Rome
Darwin,Singapore,860,1985,3,Darwin → Singapore
Hobart,Christchurch,1673,1985,3,Hobart → Christchurch
Melbourne,Abu Dhabi,0,1985,3,Melbourne → Abu Dhabi
Melbourne,Amsterdam,1313,1985,3,Melbourne → Amsterdam
Melbourne,Athens,2774,1985,3,Melbourne → Athens
Melbourne,Auckland,13736,1985,3,Melbourne → Auckland
Melbourne,Bahrain,67,1985,3,Melbourne → Bahrain
Melbourne,Bandar Seri Begawan,47,1985,3,Melbourne → Bandar Seri Begawan
Melbourne,Bangkok,4089,1985,3,Melbourne → Bangkok
Melbourne,Beijing,435,1985,3,Melbourne → Beijing
Melbourne,Belgrade,1952,1985,3,Melbourne → Belgrade
Melbourne,Bombay,351,1985,3,Melbourne → Bombay
Melbourne,Christchurch,8139,1985,3,Melbourne → Christchurch
Melbourne,Colombo,288,1985,3,Melbourne → Colombo
Melbourne,Denpasar,5064,1985,3,Melbourne → Denpasar
Melbourne,Dubai,64,1985,3,Melbourne → Dubai
Melbourne,Frankfurt,2074,1985,3,Melbourne → Frankfurt
Melbourne,Hong Kong,10030,1985,3,Melbourne → Hong Kong
Melbourne,Honolulu,3455,1985,3,Melbourne → Honolulu
Melbourne,Houston,18,1985,3,Melbourne → Houston
Melbourne,Jakarta,1476,1985,3,Melbourne → Jakarta
Melbourne,Kuala Lumpur,4339,1985,3,Melbourne → Kuala Lumpur
Melbourne,London,5474,1985,3,Melbourne → London
Melbourne,Los Angeles,3074,1985,3,Melbourne → Los Angeles
Melbourne,Manchester,836,1985,3,Melbourne → Manchester
Melbourne,Manila,3039,1985,3,Melbourne → Manila
Melbourne,Muscat,584,1985,3,Melbourne → Muscat
Melbourne,Nadi,2297,1985,3,Melbourne → Nadi
Melbourne,Nauru,141,1985,3,Melbourne → Nauru
Melbourne,Papeete,463,1985,3,Melbourne → Papeete
Melbourne,Port Vila,46,1985,3,Melbourne → Port Vila
Melbourne,Rome,2326,1985,3,Melbourne → Rome
Melbourne,San Francisco,1842,1985,3,Melbourne → San Francisco
Melbourne,Singapore,13244,1985,3,Melbourne → Singapore
Melbourne,Tokyo,702,1985,3,Melbourne → Tokyo
Melbourne,Vancouver,182,1985,3,Melbourne → Vancouver
Melbourne,Wellington,2162,1985,3,Melbourne → Wellington
Norfolk Island,Auckland,1250,1985,3,Norfolk Island → Auckland
Perth,Auckland,4304,1985,3,Perth → Auckland
Perth,Bahrain,77,1985,3,Perth → Bahrain
Perth,Bangkok,1556,1985,3,Perth → Bangkok
Perth,Bombay,1079,1985,3,Perth → Bombay
Perth,Denpasar,5904,1985,3,Perth → Denpasar
Perth,Frankfurt,367,1985,3,Perth → Frankfurt
Perth,Harare,602,1985,3,Perth → Harare
Perth,Hong Kong,4041,1985,3,Perth → Hong Kong
Perth,Honolulu,51,1985,3,Perth → Honolulu
Perth,Jakarta,1004,1985,3,Perth → Jakarta
Perth,Johannesburg,707,1985,3,Perth → Johannesburg
Perth,Kuala Lumpur,3777,1985,3,Perth → Kuala Lumpur
Perth,London,5355,1985,3,Perth → London
Perth,Mauritius,175,1985,3,Perth → Mauritius
Perth,Muscat,13,1985,3,Perth → Muscat
Perth,Rome,342,1985,3,Perth → Rome
Perth,San Francisco,139,1985,3,Perth → San Francisco
Perth,Singapore,12073,1985,3,Perth → Singapore
Perth,Tokyo,59,1985,3,Perth → Tokyo
Port Hedland,Denpasar,248,1985,3,Port Hedland → Denpasar
Sydney,Abu Dhabi,542,1985,3,Sydney → Abu Dhabi
Sydney,Amsterdam,1377,1985,3,Sydney → Amsterdam
Sydney,Apia,93,1985,3,Sydney → Apia
Sydney,Athens,3056,1985,3,Sydney → Athens
Sydney,Auckland,54178,1985,3,Sydney → Auckland
Sydney,Bahrain,340,1985,3,Sydney → Bahrain
Sydney,Bandar Seri Begawan,57,1985,3,Sydney → Bandar Seri Begawan
Sydney,Bangkok,6162,1985,3,Sydney → Bangkok
Sydney,Beijing,1046,1985,3,Sydney → Beijing
Sydney,Belgrade,2356,1985,3,Sydney → Belgrade
Sydney,Bombay,2474,1985,3,Sydney → Bombay
Sydney,Christchurch,17320,1985,3,Sydney → Christchurch
Sydney,Colombo,343,1985,3,Sydney → Colombo
Sydney,Denpasar,4821,1985,3,Sydney → Denpasar
Sydney,Dubai,98,1985,3,Sydney → Dubai
Sydney,Frankfurt,2567,1985,3,Sydney → Frankfurt
Sydney,Guangzhou,261,1985,3,Sydney → Guangzhou
Sydney,Harare,965,1985,3,Sydney → Harare
Sydney,Hong Kong,18327,1985,3,Sydney → Hong Kong
Sydney,Honolulu,9889,1985,3,Sydney → Honolulu
Sydney,Houston,55,1985,3,Sydney → Houston
Sydney,Jakarta,4459,1985,3,Sydney → Jakarta
Sydney,Johannesburg,1669,1985,3,Sydney → Johannesburg
Sydney,Kuala Lumpur,5279,1985,3,Sydney → Kuala Lumpur
Sydney,London,10236,1985,3,Sydney → London
Sydney,Los Angeles,12897,1985,3,Sydney → Los Angeles
Sydney,Manchester,1241,1985,3,Sydney → Manchester
Sydney,Manila,5495,1985,3,Sydney → Manila
Sydney,Mauritius,377,1985,3,Sydney → Mauritius
Sydney,Muscat,238,1985,3,Sydney → Muscat
Sydney,Nadi,9515,1985,3,Sydney → Nadi
Sydney,Nauru,113,1985,3,Sydney → Nauru
Sydney,Noumea,2399,1985,3,Sydney → Noumea
Sydney,Papeete,3089,1985,3,Sydney → Papeete
Sydney,Paris,611,1985,3,Sydney → Paris
Sydney,Port Moresby,3549,1985,3,Sydney → Port Moresby
Sydney,Port Vila,1541,1985,3,Sydney → Port Vila
Sydney,Rome,2392,1985,3,Sydney → Rome
Sydney,San Francisco,6002,1985,3,Sydney → San Francisco
Sydney,Singapore,22829,1985,3,Sydney → Singapore
